Date,Open,High,Low,Close,Adj Close,Volume
01-03-2018,8874,9084,8542.099609,8861.099609,8400.563477,9984215
01-04-2018,8990,9350,8715.099609,8814.950195,8356.814453,9472508
01-05-2018,8814.950195,8998,8255.5,8537.200195,8093.498047,10176732
01-06-2018,8610,9094.950195,8590.049805,8825.599609,8366.90918,8077955
01-07-2018,8878,9929,8750,9520.549805,9025.740234,10939292
01-08-2018,9535,9587.75,9012.200195,9096.400391,8623.635742,10756010
01-09-2018,9100,9118.950195,7292.649902,7347.950195,7090.080078,16116408
01-10-2018,7354,7485,6500,6616.399902,6384.203125,21329875
01-11-2018,6648.950195,7727,6600,7661.600098,7392.722168,16273924
01-12-2018,7688.5,7949.75,7170,7465.5,7203.504395,15269254
01-01-2019,7449.75,7529,6317.700195,6641.149902,6408.083984,18877108
01-02-2019,6679,7320,6652.549805,6829.700195,6590.017578,14859604
01-03-2019,6876.799805,7232,6480,6672.549805,6438.382813,16763038
01-04-2019,6730.799805,7539.350098,6630,6666.399902,6432.447754,20205207
01-05-2019,6666.399902,7193.899902,6441.399902,6869.850098,6628.758301,18194003
01-06-2019,6760,7099,6322.850098,6534.649902,6305.321777,13587950
01-07-2019,6600,6618,5446.049805,5469.700195,5277.745605,22702193
01-08-2019,5469.700195,6466.700195,5450,6123.75,5908.841797,24840098
01-09-2019,6123.75,7177.899902,5791.25,6715.799805,6570.500977,38247758
01-10-2019,6720,7758.700195,6558.149902,7559.399902,7395.849609,21838086
01-11-2019,7599.950195,7649,7000,7245.850098,7089.083984,18069733
01-12-2019,7291,7431.950195,6864.100098,7368.600098,7209.177734,16966704
01-01-2020,7377,7569.899902,6895.549805,6913.5,6763.923828,16442313
01-02-2020,6915,7231.600098,6103.200195,6283.100098,6147.162598,18520266
01-03-2020,6400.950195,6480,4030,4288.299805,4195.520996,28273632
01-04-2020,4290,5602.950195,4001.100098,5358.799805,5242.860352,34452642
